Cement,Slag,Ash,Water,Plast,Coarse,Fine,Days,Mpa,WC,Predicted_Mpa
141.3,212.0,0.0,203.5,0.0,971.8,748.5,28,29.89,1.44,30.84834131227035
168.9,42.2,124.3,158.3,10.8,1080.8,796.2,14,23.51,0.94,41.089972685620516
250.0,0.0,95.7,187.4,5.5,956.9,861.2,28,29.22,0.75,34.4963560271141
266.0,114.0,0.0,228.0,0.0,932.0,670.0,28,45.85,0.86,25.29701457229072
154.8,183.4,0.0,193.3,9.1,1047.4,696.7,28,18.29,1.25,33.15950591422105
255.0,0.0,0.0,192.0,0.0,889.8,945.0,90,21.86,0.75,33.45406610858732
166.8,250.2,0.0,203.5,0.0,975.6,692.6,7,15.75,1.22,30.84834131227035
251.4,0.0,118.3,188.5,6.4,1028.4,757.7,56,36.64,0.75,34.24711278572727
296.0,0.0,0.0,192.0,0.0,1085.0,765.0,28,21.65,0.65,33.45406610858732
155.0,184.0,143.0,194.0,9.0,880.0,699.0,28,28.99,1.25,33.00089657879306
151.8,178.1,138.7,167.5,18.3,944.0,694.6,28,36.35,1.1,39.00539284856695
173.0,116.0,0.0,192.0,0.0,946.8,856.8,3,6.94,1.11,33.45406610858732
385.0,0.0,0.0,186.0,0.0,966.0,763.0,14,27.92,0.48,34.81357469797008
237.5,237.5,0.0,228.0,0.0,932.0,594.0,7,26.26,0.96,25.29701457229072
167.0,187.0,195.0,185.0,7.0,898.0,636.0,28,23.89,1.11,35.04015946286721
213.8,98.1,24.5,181.7,6.7,1066.0,785.5,100,49.97,0.85,35.78788918702774
237.5,237.5,0.0,228.0,0.0,932.0,594.0,28,30.08,0.96,25.29701457229072
336.0,0.0,0.0,182.0,3.0,986.0,817.0,28,44.86,0.54,35.719913757558594
190.7,0.0,125.4,162.1,7.8,1090.0,804.0,3,15.04,0.85,40.22895057901144
312.7,0.0,0.0,178.1,8.0,999.7,822.2,28,25.1,0.57,36.603594340657395
229.7,0.0,118.2,195.2,6.1,1028.1,757.6,3,13.36,0.85,32.728994860916515
236.0,157.0,0.0,192.0,0.0,972.6,749.1,7,20.42,0.81,33.45406610858732
132.0,207.0,161.0,179.0,5.0,867.0,736.0,28,33.3,1.36,36.39966805224998
331.0,0.0,0.0,192.0,0.0,1025.0,821.0,28,31.74,0.58,33.45406610858732
310.0,143.0,0.0,168.0,10.0,914.0,804.0,28,45.3,0.54,38.892100466118386
304.0,76.0,0.0,228.0,0.0,932.0,670.0,90,49.19,0.75,25.29701457229072
425.0,106.3,0.0,153.5,16.5,852.1,887.1,91,65.2,0.36,42.177579557126734
166.1,0.0,163.3,176.5,4.5,1058.6,780.1,28,21.54,1.06,36.9661299644928
255.0,99.0,77.0,189.0,6.0,919.0,749.0,28,33.8,0.74,34.1338204032787
339.0,0.0,0.0,197.0,0.0,968.0,781.0,28,32.04,0.58,32.32114228410168
475.0,0.0,0.0,228.0,0.0,932.0,594.0,28,39.29,0.48,25.29701457229072
145.7,172.6,0.0,181.9,3.4,985.8,816.8,28,23.74,1.25,35.7425722340483
313.0,145.0,0.0,127.0,8.0,1000.0,822.0,28,44.52,0.41,48.182075826900615
331.0,0.0,0.0,192.0,0.0,1025.0,821.0,90,37.91,0.58,33.45406610858732
178.0,129.8,118.6,179.9,3.6,1007.3,746.8,28,39.16,1.01,36.19574176384256
165.0,0.0,143.6,163.8,0.0,1005.6,900.9,14,16.88,0.99,39.843756478686316
